epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,14500.3,1.68778,1.09479,0.0055,0.84041,0.74519,0.83689,0.51425,1.37959,0.93342,0.00633,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,17942.9,1.67804,1.10246,0.0055,0.84192,0.74603,0.83702,0.51517,1.37847,0.93148,0.00632,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,21351.6,1.68323,1.09729,0.00553,0.84264,0.74357,0.83661,0.5152,1.37684,0.93176,0.00631,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,24807.5,1.68298,1.08805,0.00546,0.84618,0.74394,0.83733,0.516,1.37476,0.93025,0.00629,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,28058.2,1.67268,1.07889,0.00545,0.84214,0.74669,0.83749,0.51642,1.37397,0.92857,0.00629,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,31413.4,1.67085,1.06873,0.00543,0.84236,0.74731,0.83842,0.51753,1.37239,0.92606,0.00628,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,34712,1.66937,1.07006,0.00542,0.84395,0.74775,0.83962,0.5187,1.37041,0.92574,0.00627,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,37863.1,1.66245,1.06082,0.0054,0.84467,0.7484,0.83974,0.51932,1.36656,0.92698,0.00625,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,40944.5,1.65769,1.05152,0.00538,0.84284,0.75211,0.84119,0.52003,1.36396,0.92596,0.00623,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,44067.6,1.64915,1.04688,0.00533,0.84435,0.75238,0.84209,0.52138,1.36215,0.92362,0.00621,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
42,47187.6,1.65334,1.03907,0.00533,0.84344,0.7526,0.84324,0.52291,1.36119,0.91871,0.00621,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
43,50436.4,1.64881,1.0401,0.00534,0.83951,0.75863,0.84405,0.52382,1.35846,0.91817,0.00619,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
